"","external_gene_name","gene_biotype"
"173","VmrC","protein_coding"
"174","UdJB","processed_pseudogene"
"175","nTyX","unprocessed_pseudogene"
"176","Dhpl","protein_coding"
"177","TDMo","protein_coding"
"178","RTWL","protein_coding"
"179","ouOR","protein_coding"
"180","PFVd","protein_coding"
"181","LKYK","protein_coding"
"182","pOZd","protein_coding"
"183","oKNw","protein_coding"
"184","cSNr","protein_coding"
"185","Slgn","protein_coding"
"186","jOtz","protein_coding"
"187","HtBE","protein_coding"
"188","kTQD","protein_coding"
"189","cRNU","protein_coding"
"190","ZvRI","protein_coding"
"191","FdWW","protein_coding"
"192","Fqkt","lncRNA"
"193","IVwi","protein_coding"
"194","hndT","protein_coding"
"195","fqKO","protein_coding"
"196","xure","unprocessed_pseudogene"
"197","nCdf","unprocessed_pseudogene"
"198","jqMk","processed_pseudogene"
"199","OMQj","processed_pseudogene"
"200","qkRg","unprocessed_pseudogene"
"201","hAex","unprocessed_pseudogene"
"202","vlOL","unprocessed_pseudogene"
"203","WjtR","unprocessed_pseudogene"
"204","SQEP","protein_coding"
"205","OrkC","protein_coding"
"206","lNey","protein_coding"
"207","dCDT","protein_coding"
"208","Zssy","protein_coding"
"209","TcRm","protein_coding"
"210","MZvk","protein_coding"
"211","CPnx","protein_coding"
"212","TOJt","protein_coding"
"213","OoMY","protein_coding"
"214","dlsb","unprocessed_pseudogene"
"215","HURq","protein_coding"
"216","AAuF","protein_coding"
"217","LGUm","protein_coding"
"218","Ypsf","protein_coding"
"219","tOPM","processed_pseudogene"
"220","dGdo","protein_coding"
"221","PurT","protein_coding"
"222","rABw","protein_coding"
"223","kIYU","protein_coding"
"224","fxhg","protein_coding"
"225","PUIp","protein_coding"
"226","iVKQ","protein_coding"
"227","nBSf","protein_coding"
"228","ViEK","protein_coding"
"229","osSP","protein_coding"
"230","SJnu","protein_coding"
"231","dieY","protein_coding"
"232","xzJM","processed_pseudogene"
"233","UDPq","protein_coding"
"234","EgXT","protein_coding"
"235","inNy","protein_coding"
"236","qSBP","protein_coding"
"237","QXQF","protein_coding"
"238","jiXa","protein_coding"
"239","AFAE","protein_coding"
"240","aWQq","protein_coding"
"241","pYDs","protein_coding"
"242","KlSy","protein_coding"
"243","wRrV","protein_coding"
"244","xjfW","protein_coding"
"245","SVpJ","protein_coding"
"246","lFdH","protein_coding"
"247","umyn","protein_coding"
"248","GAoh","protein_coding"
"249","Zuay","protein_coding"
"250","HLEb","protein_coding"
"251","aJNh","lncRNA"
"252","rUta","protein_coding"
"253","bPXK","protein_coding"
"254","rqOV","protein_coding"
"255","lgpX","protein_coding"
"256","RqNt","lncRNA"
"257","KwnZ","protein_coding"
"258","roGC","protein_coding"
"259","vjLW","protein_coding"
"260","rMcU","protein_coding"
"261","eqaM","protein_coding"
"262","XadN","protein_coding"
"263","WPVN","protein_coding"
"264","kfMq","protein_coding"
"265","hZbv","protein_coding"
"266","EBuJ","transcribed_unprocessed_pseudogene"
"267","pFQX","protein_coding"
"268","vHGv","protein_coding"
"269","eFqy","processed_pseudogene"
"270","TWrI","protein_coding"
"271","cUeA","protein_coding"
"272","JRSF","protein_coding"
"273","eVwN","protein_coding"
"274","GofG","protein_coding"
"275","TVsU","protein_coding"
"276","sSCI","protein_coding"
"277","quce","processed_pseudogene"
"278","iDUT","protein_coding"
"279","FCVw","protein_coding"
"280","FVFi","unitary_pseudogene"
"281","lhcf","protein_coding"
"282","nnKa","protein_coding"
"283","mCOj","protein_coding"
"284","fhoO","protein_coding"
"285","adEv","protein_coding"
"286","Jgeq","protein_coding"
"287","zHKO","protein_coding"
"288","tfup","protein_coding"
"289","VEvE","protein_coding"
"290","xpFJ","protein_coding"
"291","uMUg","protein_coding"
"292","rfqU","protein_coding"
"293","czVj","protein_coding"
"294","hhjq","protein_coding"
"295","mNdI","protein_coding"
"296","sGyU","protein_coding"
"297","oNtt","protein_coding"
"298","tKEk","lncRNA"
"299","mPGZ","protein_coding"
"300","dAml","protein_coding"
"301","EygT","protein_coding"
"302","xpBU","protein_coding"
"303","hTas","protein_coding"
"304","XLnG","protein_coding"
"305","fbhI","protein_coding"
"306","gclC","protein_coding"
"307","CIlA","protein_coding"
"308","ZTWl","processed_pseudogene"
"309","chLm","protein_coding"
"310","doJW","protein_coding"
"311","CYgX","protein_coding"
"312","qDrK","protein_coding"
"313","mEqj","protein_coding"
"314","jyFg","protein_coding"
"315","kxVB","protein_coding"
"316","aFmg","lncRNA"
"317","ZTIP","protein_coding"
"318","LNYg","protein_coding"
"319","RGbX","protein_coding"
"320","IzJz","lncRNA"
"321","Prhg","protein_coding"
"322","JqcH","protein_coding"
"323","fvsj","protein_coding"
"324","NxUb","protein_coding"
"325","KshK","protein_coding"
"326","DLpR","protein_coding"
"327","oXQT","unprocessed_pseudogene"
"328","LjBt","protein_coding"
"329","cZWL","protein_coding"
"330","kQTg","protein_coding"
"331","aXnE","protein_coding"
"332","HdBv","protein_coding"
"333","pqAf","protein_coding"
"334","uwUR","lncRNA"
"335","psGl","protein_coding"
"336","Amut","protein_coding"
"337","Udrn","processed_pseudogene"
"338","LUEe","processed_pseudogene"
"339","bWnt","processed_pseudogene"
"340","MfJy","processed_pseudogene"
"341","DDAJ","processed_pseudogene"
"342","gujZ","processed_pseudogene"
"343","WArx","processed_pseudogene"
"344","DDWM","processed_pseudogene"
"345","OfyV","processed_pseudogene"
"346","gZRf","processed_pseudogene"
"347","mCSg","protein_coding"
"348","nbWp","transcribed_unitary_pseudogene"
"349","nbWp","lncRNA"
"350","ObVE","protein_coding"
"351","CzAy","processed_pseudogene"
"352","FyYT","processed_pseudogene"
"353","AZmM","processed_pseudogene"
"354","erPU","processed_pseudogene"
"355","GHkp","processed_pseudogene"
"356","wLWQ","processed_pseudogene"
"357","AUeS","processed_pseudogene"
"358","VavJ","transcribed_processed_pseudogene"
"359","ZOIq","transcribed_processed_pseudogene"
"360","ZOIq","lncRNA"
"361","lfYq","processed_pseudogene"
"362","ojTM","processed_pseudogene"
"363","AIyq","processed_pseudogene"
"364","rCSq","processed_pseudogene"
"365","eNKO","processed_pseudogene"
"366","xxdd","transcribed_processed_pseudogene"
"367","gItu","processed_pseudogene"
"368","DAXE","processed_pseudogene"
"369","zzgE","transcribed_processed_pseudogene"
"370","zzgE","lncRNA"
"371","RdiG","processed_pseudogene"
"372","jRsu","processed_pseudogene"
"373","kpZW","processed_pseudogene"
"374","XXVb","protein_coding"
"375","bnUA","protein_coding"
"376","bnUA","protein_coding"
"377","bnUA","protein_coding"
"378","bnUA","protein_coding"
"379","wPsZ","protein_coding"
"380","MrlX","protein_coding"
"381","Beuy","protein_coding"
"382","oOzm","protein_coding"
"383","BXjp","protein_coding"
"384","IExp","protein_coding"
"385","mdds","protein_coding"
"386","qPzF","protein_coding"
"387","kXgy","protein_coding"
"388","weqV","protein_coding"
"389","bovZ","processed_pseudogene"
"390","VICu","processed_pseudogene"
"391","mqnL","processed_pseudogene"
"392","NoMY","protein_coding"
"393","kvpT","protein_coding"
"394","kGDV","processed_pseudogene"
"395","WVht","protein_coding"
"396","RpHZ","protein_coding"
"397","eaUI","protein_coding"
"398","tcfZ","protein_coding"
"399","NdZZ","processed_pseudogene"
"400","rPwF","processed_pseudogene"
"401","xsyx","processed_pseudogene"
"402","nDsf","processed_pseudogene"
"403","QvxE","processed_pseudogene"
"404","bhdn","processed_pseudogene"
"405","YxiW","processed_pseudogene"
"406","qlHU","protein_coding"
"407","DhSF","processed_pseudogene"
"408","Rfbr","processed_pseudogene"
"409","UzFv","protein_coding"
"410","RIHz","protein_coding"
"411","pOHQ","processed_pseudogene"
"412","YhFr","protein_coding"
"413","EeVB","protein_coding"
"414","TmWu","protein_coding"
"415","aPUl","protein_coding"
"416","wLSv","protein_coding"
"417","DQmg","protein_coding"
"418","YDPy","protein_coding"
"419","DkFL","protein_coding"
"420","VaqX","protein_coding"
"421","vnRN","lncRNA"
"422","BbLX","protein_coding"
"423","YCtS","protein_coding"
"424","sMcL","protein_coding"
"425","gxwl","protein_coding"
"426","GjLB","protein_coding"
"427","QvAR","protein_coding"
"428","BySH","protein_coding"
"429","dtSj","protein_coding"
"430","dFYT","processed_pseudogene"
"431","BrHl","protein_coding"
"432","IRFh","protein_coding"
"433","rnKI","protein_coding"
"434","quZH","protein_coding"
"435","cxXJ","protein_coding"
"436","WtHA","protein_coding"
"437","vhmG","protein_coding"
"438","BPYF","protein_coding"
"439","JnKB","protein_coding"
"440","Nkjc","unitary_pseudogene"
"441","MsKl","unitary_pseudogene"
"442","fCsR","protein_coding"
"443","mUEi","protein_coding"
"444","iDGL","lncRNA"
"445","iDGL","transcribed_unprocessed_pseudogene"
"446","lKaT","processed_pseudogene"
"447","ErVi","processed_pseudogene"
"448","jHZU","protein_coding"
"449","tZJZ","transcribed_processed_pseudogene"
"450","tZJZ","lncRNA"
"451","eRyd","protein_coding"
"452","moLO","protein_coding"
"453","aval","unprocessed_pseudogene"
"454","pCff","protein_coding"
"455","aAjF","protein_coding"
"456","ORfi","protein_coding"
"457","xSnu","protein_coding"
"458","itOM","protein_coding"
"459","IEAR","transcribed_unitary_pseudogene"
"460","IEAR","lncRNA"
"461","tJOO","processed_pseudogene"
"462","cWTC","transcribed_unitary_pseudogene"
"463","kDFG","transcribed_unprocessed_pseudogene"
"464","kDFG","lncRNA"
"465","Bbev","protein_coding"
"466","IJHq","protein_coding"
"467","iKBd","protein_coding"
"468","SBtM","protein_coding"
"469","DIKL","protein_coding"
"470","sZbx","protein_coding"
"471","OdQV","protein_coding"
"472","WETt","protein_coding"
"473","YSOo","protein_coding"
"474","kLgL","protein_coding"
"475","xFES","protein_coding"
"476","NWNF","protein_coding"
"477","kzhR","protein_coding"
"478","miWP","protein_coding"
"479","hYjd","lncRNA"
"480","Kyhe","protein_coding"
"481","fdVy","protein_coding"
"482","ylEg","protein_coding"
"483","Sxts","protein_coding"
"484","HhVx","protein_coding"
"485","UeQO","protein_coding"
"486","IDWb","protein_coding"
"487","bpCI","transcribed_unprocessed_pseudogene"
"488","zSDV","transcribed_unprocessed_pseudogene"
"489","bQLu","transcribed_unprocessed_pseudogene"
"490","CjuD","protein_coding"
"491","kObF","protein_coding"
"492","smhs","lncRNA"
"493","qyYp","lncRNA"
"494","sHzY","protein_coding"
"495","MaeC","protein_coding"
"496","WPaE","protein_coding"
"497","mlEU","protein_coding"
"498","HLqy","lncRNA"
"499","WePT","lncRNA"
"500","Yhil","protein_coding"
"501","EJTO","protein_coding"
"502","VTLr","protein_coding"
"503","iBTp","protein_coding"
"504","XALL","protein_coding"
"505","rasJ","protein_coding"
"506","bEmD","lncRNA"
"507","KsIh","protein_coding"
"508","rZfz","protein_coding"
"509","HwDV","protein_coding"
"510","AeGz","protein_coding"
"511","EXnI","protein_coding"
"512","hmFN","protein_coding"
"513","tivx","protein_coding"
"514","FNAf","protein_coding"
"515","cGuP","transcribed_unprocessed_pseudogene"
"516","cGuP","lncRNA"
"517","nyCb","protein_coding"
"518","xBCm","protein_coding"
"519","jpFs","protein_coding"
"520","EvDM","protein_coding"
"521","fydh","protein_coding"
"522","FOSp","lncRNA"
"523","woYf","protein_coding"
"524","foMi","protein_coding"
"525","wWcc","protein_coding"
"526","myNM","protein_coding"
"527","xdtp","protein_coding"
"528","RqDr","protein_coding"
"529","KzLo","protein_coding"
"530","ZbDw","protein_coding"
"531","sniU","lncRNA"
"532","lvrF","protein_coding"
"533","PxDy","protein_coding"
"534","sxMB","lncRNA"
"535","Stmc","protein_coding"
"536","NmvI","protein_coding"
"537","AtLy","protein_coding"
"538","RBjt","protein_coding"
"539","qAqA","protein_coding"
"540","dEfj","protein_coding"
"541","FmLk","lncRNA"
"542","QIfE","protein_coding"
"543","tVaq","protein_coding"
"544","PhdE","protein_coding"
"545","Lwfu","protein_coding"
"546","CMvt","transcribed_unprocessed_pseudogene"
"547","qgeU","protein_coding"
"548","XqvA","protein_coding"
"549","JWbd","protein_coding"
"550","UjEz","protein_coding"
"551","GjLg","protein_coding"
"552","CBpu","lncRNA"
"553","giRP","transcribed_processed_pseudogene"
"554","Mwvx","transcribed_unprocessed_pseudogene"
"555","CgOM","protein_coding"
"556","lfEk","protein_coding"
"557","FTXb","protein_coding"
"558","ZNAf","protein_coding"
"559","nuzt","protein_coding"
"560","yYSV","protein_coding"
"561","btPX","protein_coding"
"562","MXyu","protein_coding"
"563","PcZn","protein_coding"
"564","GYlO","protein_coding"
"565","kLpE","lncRNA"
"566","eigC","protein_coding"
"567","ISRs","protein_coding"
"568","aPVq","protein_coding"
"569","oCOe","protein_coding"
"570","McDc","protein_coding"
"571","yuix","protein_coding"
"572","bpSU","protein_coding"
"573","xqRp","processed_pseudogene"
"574","PSQW","processed_pseudogene"
"575","zXJP","processed_pseudogene"
"576","jOVs","transcribed_processed_pseudogene"
"577","QtjA","protein_coding"
"578","BioC","protein_coding"
"579","EGMc","protein_coding"
"580","ZCUR","protein_coding"
"581","ARXD","processed_pseudogene"
"582","AKZx","processed_pseudogene"
"583","GTtJ","processed_pseudogene"
"584","nLjo","protein_coding"
"585","YCmr","protein_coding"
"586","YmqK","lncRNA"
"587","HxTl","protein_coding"
"588","MleG","processed_pseudogene"
"589","dejW","processed_pseudogene"
"590","ziSL","protein_coding"
"591","qOgR","protein_coding"
"592","cOim","lncRNA"
"593","waTg","protein_coding"
"594","TdmD","protein_coding"
"595","bRfn","protein_coding"
"596","zBJa","protein_coding"
"597","UBaL","protein_coding"
"598","lGXq","lncRNA"
"599","lSVc","protein_coding"
"600","MWGc","protein_coding"
"601","QrWM","protein_coding"
"602","TklK","protein_coding"
"603","adoJ","lncRNA"
"604","sUWA","protein_coding"
"605","DrKu","processed_pseudogene"
"606","phji","protein_coding"
"607","CzBJ","protein_coding"
"608","YzPO","lncRNA"
"609","zDXt","protein_coding"
"610","JSKY","protein_coding"
"611","Espn","protein_coding"
"612","Wiqz","protein_coding"
"613","AwqL","protein_coding"
"614","hVFH","protein_coding"
"615","YJkO","protein_coding"
"616","xRwr","protein_coding"
"617","kjyq","protein_coding"
"618","zSGV","protein_coding"
"619","TPNR","protein_coding"
"620","fEvW","protein_coding"
"621","WxuO","protein_coding"
"622","xxcm","protein_coding"
"623","gnKv","protein_coding"
"624","edzR","protein_coding"
"625","ahPp","protein_coding"
"626","dThj","protein_coding"
"627","obCU","protein_coding"
"628","FUuv","protein_coding"
"629","NZWu","protein_coding"
"630","lwTA","protein_coding"
"631","LyBQ","lncRNA"
"632","uDeM","protein_coding"
"633","IFhG","protein_coding"
"634","fKOa","protein_coding"
"635","NiVA","lncRNA"
"636","WNGH","protein_coding"
"637","LrEy","protein_coding"
"638","COUk","lncRNA"
"639","OrhF","protein_coding"
"640","vizT","protein_coding"
"641","xERE","protein_coding"
"642","rYHo","lncRNA"
"643","rYHo","transcribed_unitary_pseudogene"
"644","gEAv","protein_coding"
"645","LhYQ","processed_pseudogene"
"646","WhGn","protein_coding"
"647","MGnq","protein_coding"
"648","wNSP","protein_coding"
"649","SPyE","protein_coding"
"650","gDdP","protein_coding"
"651","TNXP","protein_coding"
"652","UNeJ","lncRNA"
"653","hRqJ","unprocessed_pseudogene"
"654","mVjg","transcribed_unprocessed_pseudogene"
"655","XMLu","transcribed_unprocessed_pseudogene"
"656","XMLu","lncRNA"
"657","ovos","unprocessed_pseudogene"
"658","cSMV","unprocessed_pseudogene"
"659","zEmB","protein_coding"
"660","UlIC","lncRNA"
"661","JJDa","protein_coding"
"662","AKiD","protein_coding"
"663","inKd","protein_coding"
"664","pvAc","protein_coding"
"665","tBRe","unprocessed_pseudogene"
"666","dEer","protein_coding"
"667","GpbE","protein_coding"
"668","jJpU","lncRNA"
"669","kKZI","protein_coding"
"670","fnlh","protein_coding"
"671","FCzZ","protein_coding"
"672","GHNj","lncRNA"
"673","jKce","lncRNA"
"674","McRJ","protein_coding"
"675","qipD","lncRNA"
"676","GZCf","lncRNA"
"677","jhlK","protein_coding"
"678","xlmr","protein_coding"
"679","tsIw","protein_coding"
"680","VEuw","protein_coding"
"681","eHtc","processed_pseudogene"
"682","fuaW","processed_pseudogene"
"683","zWkE","processed_pseudogene"
"684","uhRw","processed_pseudogene"
"685","IeHL","processed_pseudogene"
"686","sQKt","processed_pseudogene"
"687","SYrw","processed_pseudogene"
"688","irpU","processed_pseudogene"
"689","WAmx","processed_pseudogene"
"690","pheE","processed_pseudogene"
"691","hWLx","protein_coding"
"692","nfSf","processed_pseudogene"
"693","sruf","protein_coding"
"694","Lelu","protein_coding"
"695","wICV","protein_coding"
"696","Yshk","protein_coding"
"697","vygW","protein_coding"
"698","BehZ","protein_coding"
"699","Fmmy","protein_coding"
"700","WiQG","protein_coding"
"701","ejmE","protein_coding"
"702","CesV","protein_coding"
"703","IaFA","protein_coding"
"704","ltWM","protein_coding"
"705","LrIY","processed_pseudogene"
"706","uhQw","protein_coding"
"707","zAYZ","protein_coding"
"708","Inpl","protein_coding"
"709","bvpd","protein_coding"
"710","NIzU","protein_coding"
"711","Xmxn","protein_coding"
"712","aSfT","protein_coding"
"713","ntNP","protein_coding"
"714","mvCq","protein_coding"
"715","mMWl","protein_coding"
"716","QHLa","protein_coding"
"717","mfJF","protein_coding"
"718","KyeX","protein_coding"
"719","TdKw","processed_pseudogene"
"720","LdDZ","protein_coding"
"721","GriY","protein_coding"
"722","KIhM","protein_coding"
"723","zaSP","processed_pseudogene"
"724","PxQi","processed_pseudogene"
"725","xRmt","processed_pseudogene"
"726","kqAq","processed_pseudogene"
"727","BkfZ","processed_pseudogene"
"728","nWcQ","transcribed_processed_pseudogene"
"729","rVdb","protein_coding"
"730","oEPG","protein_coding"
"731","MKGg","protein_coding"
"732","eTIE","protein_coding"
"733","wdnG","protein_coding"
"734","buNT","protein_coding"
"735","UsVc","protein_coding"
"736","zfZz","lncRNA"
"737","zfZz","transcribed_unitary_pseudogene"
"738","slZT","protein_coding"
"739","pBbI","protein_coding"
"740","PdYF","protein_coding"
"741","gyeG","protein_coding"
"742","BHSP","processed_pseudogene"
"743","NdLm","transcribed_processed_pseudogene"
"744","sWdp","processed_pseudogene"
"745","fLCo","protein_coding"
"746","pdMm","protein_coding"
"747","sqPM","protein_coding"
"748","KaVQ","processed_pseudogene"
"749","HoVU","protein_coding"
"750","grOp","protein_coding"
"751","INgD","protein_coding"
"752","DyZJ","unprocessed_pseudogene"
"753","obJL","protein_coding"
"754","VzED","protein_coding"
"755","NVwR","processed_pseudogene"
"756","tUwu","processed_pseudogene"
"757","KWVX","protein_coding"
"758","hjuj","protein_coding"
"759","lxEI","protein_coding"
"760","JCgX","protein_coding"
"761","FoUY","lncRNA"
"762","IXzs","protein_coding"
"763","ngpQ","protein_coding"
"764","gqoD","protein_coding"
"765","pHuV","protein_coding"
"766","dBcZ","protein_coding"
"767","KhEZ","processed_pseudogene"
"768","mRbh","protein_coding"
"769","YNBo","processed_pseudogene"
"770","fxMG","processed_pseudogene"
"771","zIJW","processed_pseudogene"
"772","lcNz","processed_pseudogene"
"773","zrIB","protein_coding"
"774","CBQz","processed_pseudogene"
"775","MoJb","processed_pseudogene"
"776","Ldxa","protein_coding"
"777","uNra","processed_pseudogene"
"778","siZn","processed_pseudogene"
"779","VMOR","processed_pseudogene"
"780","AISB","protein_coding"
"781","cwfv","protein_coding"
"782","CGNB","processed_pseudogene"
"783","UrCf","processed_pseudogene"
"784","YuCm","protein_coding"
"785","yNvi","protein_coding"
"786","XLKw","protein_coding"
"787","iuAC","protein_coding"
"788","LMLS","protein_coding"
"789","noyP","protein_coding"
"790","ziLq","protein_coding"
"791","cWtz","protein_coding"
"792","DyzW","protein_coding"
"793","koRk","protein_coding"
"794","rYwx","protein_coding"
"795","rYwx","protein_coding"
"796","mhUR","unprocessed_pseudogene"
"797","HHFq","protein_coding"
"798","ToGR","protein_coding"
"799","aIhz","protein_coding"
"800","xhkF","protein_coding"
"801","QTME","protein_coding"
"802","DmnA","protein_coding"
"803","QRVn","protein_coding"
"804","RpUh","processed_pseudogene"
"805","skzp","protein_coding"
"806","yypj","protein_coding"
"807","aysC","protein_coding"
"808","jYJJ","processed_pseudogene"
"809","TtpD","processed_pseudogene"
"810","CpoJ","protein_coding"
"811","llhF","processed_pseudogene"
"812","UZKu","protein_coding"
"813","rtQZ","protein_coding"
"814","eTqV","protein_coding"
"815","Bddq","protein_coding"
"816","iLZR","protein_coding"
"817","nOlS","processed_pseudogene"
"818","VsEt","processed_pseudogene"
"819","fBpW","protein_coding"
"820","JnCp","processed_pseudogene"
"821","mhOb","processed_pseudogene"
"822","xQPZ","processed_pseudogene"
"823","tozX","processed_pseudogene"
"824","Bvjk","processed_pseudogene"
"825","Cafe","processed_pseudogene"
"826","snck","processed_pseudogene"
"827","izwl","processed_pseudogene"
"828","ykyp","protein_coding"
"829","koXP","protein_coding"
"830","Yeiw","protein_coding"
"831","GHAv","protein_coding"
"832","paAz","unprocessed_pseudogene"
"833","ksNQ","unprocessed_pseudogene"
"834","Clzr","transcribed_unprocessed_pseudogene"
"835","rvJc","protein_coding"
"836","ICpA","processed_pseudogene"
"837","UuEe","protein_coding"
"838","bIiZ","protein_coding"
"839","XiXT","processed_pseudogene"
"840","VoQs","processed_pseudogene"
"841","Svvc","protein_coding"
"842","Sphv","protein_coding"
"843","mFLa","protein_coding"
"844","aDkm","protein_coding"
"845","uzsp","protein_coding"
"846","cJHS","protein_coding"
"847","BvPx","lncRNA"
"848","WYnf","protein_coding"
"849","zbTA","protein_coding"
"850","AuTH","protein_coding"
"851","NGzP","protein_coding"
"852","NxJe","protein_coding"
"853","aqeL","protein_coding"
"854","YwFR","protein_coding"
"855","EfTe","protein_coding"
"856","MwCW","protein_coding"
"857","JsSR","protein_coding"
"858","OUzR","protein_coding"
"859","yWNu","protein_coding"
"860","YKUs","protein_coding"
"861","TAKE","lncRNA"
"862","hMrP","lncRNA"
"863","RdkP","protein_coding"
"864","yevi","protein_coding"
"865","qdsY","protein_coding"
"866","fjyy","protein_coding"
"867","pFrX","protein_coding"
"868","nBhD","protein_coding"
"869","tWkY","protein_coding"
"870","kzQS","protein_coding"
"871","JCye","protein_coding"
"872","EDDh","protein_coding"
"873","VCeE","processed_pseudogene"
